NOMBRE DE LA RED ;# DIRECTOS ;# INDIRECTOS ;# PUBLICOS ;;;;;;;;;;;
Red de Mujeres Artistica y Gestoras ;335;1796;3510;;;;;;;;;;;
Red Intercultural Juvenil ;1268;4321;21565;;;;;;;;;;;
Red Comunitaria Hip Hop ;347;1984;6575;;;;;;;;;;;
Organizaciones Emergentes ;925;8533;30065;;;;;;;;;;;
TOTAL ;2875;16634;61715;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
RED COMUNITARIA DE HIP HOP  ;;;;Red de Mujeres Artistica y Gestoras ;;;;RED INTERCULTURAL JUVENIL ;;;;ORGANIZACIONES EMERGENTES ;;
DIRECTOS ;INDIRECTOS ;PUBLICOS;;DIRECTOS ;INDIRECTOS ;PUBLICOS;;DIRECTOS ;INDIRECTOS ;PUBLICOS;;DIRECTOS ;INDIRECTOS ;PUBLICOS
40;100;500;;14;53;70;;7;25;84;;40;800;1
20;57;400;;25;300;320;;24;102;250;;60;300;200
15;80;550;;50;130;600;;4;16;450;;25;150;150
20;85;450;;15;80;150;;76;45;230;;8;380;500
42;231;500;;16;45;45;;14;30;100;;12;60;300
50;160;1000;;16;100;150;;30;102;200;;19;200;3000
19;228;735;;15;25;50;;27;200;1000;;26;247;10
10;100;250;;5;60;70;;13;105;105;;9;124;177
12;45;900;;15;100;20;;150;600;5000;;9;124;177
8;150;250;;70;190;190;;45;200;1500;;45;0;12.500
28;140;250;;16;240;400;;140;121;1;;14;98;500
20;150;400;;28;373;945;;15;155;300;;26;600;350
;;;;;;;;;;;;20;200;1000
;;;;;;;;;;;;12;250;5600
15;85;120;;50;100;500;;35;30;420;;600;5000;5600
20;60;120;;335;1796;3510;;39;174;4668;;925;8533;30065
25;51;25;;;;;;;;;;;;
28;313;150;;;;;;25;125;2600;;;;
372;2035;6600;;;;;;45;51;450;;;;
;;;;;;;;80;200;300;;;;
;;;;;;;;23;132;918;;;;
;;;;;;;;32;25;60;;;;
;;;;;;;;15;300;300;;;;
;;;;;;;;10;50;80;;;;
;;;;;;;;46;99;26;;;;
;;;;;;;;46;99;26;;;;
;;;;;;;;57;207;300;;;;
;;;;;;;;57;207;300;;;;
;;;;;;;;47;99;562;;;;
;;;;;;;;18;320;500;;;;
;;;;;;;;57;208;300;;;;
;;;;;;;;35;70;110;;;;
;;;;;;;;14;42;45;;;;
;;;;;;;;34;37;80;;;;
;;;;;;;;8;145;300;;;;
;;;;;;;;1268;4321;21565;;;;